Chart Number,Bird Species,Admission Date,When Captured,Age,Sex,Address - Captured,City - Captured,Injury Cause,Status
2016-02134,Mallard,11.05.2016,5/10/16,F,UNK,Lincoln Park,Chicago,Fell from nest,Released
2016-02135,Mallard,11.05.2016,5/10/16,F,UNK,Lincoln Park,Chicago,Fell from nest,Released
2016-02136,Mallard,11.05.2016,5/10/16,F,UNK,Lincoln Park,Chicago,Fell from nest,Released
2016-02137,Mallard,11.05.2016,5/10/16,F,UNK,Lincoln Park,Chicago,Fell from nest,Released
2016-02138,Mallard,11.05.2016,5/10/16,F,UNK,Lincoln Park,Chicago,Fell from nest,Released
2016-02139,Mallard,11.05.2016,5/10/16,F,UNK,Lincoln Park,Chicago,Fell from nest,Released
2016-02140,Mallard,11.05.2016,5/10/16,F,UNK,Lincoln Park,Chicago,Fell from nest,Released
2016-02141,Mallard,11.05.2016,5/10/16,F,UNK,Lincoln Park,Chicago,Fell from nest,Released
2016-02142,Cooper's Hawk,11.05.2016,5/10/16,A,UNK,186 Atwell St,Elgin,Unknown,Euthanized after 24 hours
2016-02147,American Robin,11.05.2016,5/10/16 4:30 PM,N,UNK,1414 Monroe,River Forest,Fell from nest,Released
2016-02148,American Robin,11.05.2016,5/10/16 4:30 PM,N,UNK,1414 Monroe,River Forest,Fell from nest,Released
2016-02150,Swainson's Thrush,11.05.2016,5/10/16 6:15 PM,A,UNK,"4622 Kilpatrick, no side given",Chicago,Collision - building,Released
2016-02155,Sora,11.05.2016,5/11/16 7:30 AM,A,UNK,10 S. LaSalle (NW corner),Chicago,Collision - building,Released
2016-02156,Gray Catbird,11.05.2016,5/11/16 6:14 AM,A,UNK,Shoreham/400 S. Water (SE cor),Chicago,Collision - building,Released
2016-02157,Lincoln's Sparrow,11.05.2016,5/11/16 6:20 AM,A,UNK,Dirkson (E sd),Chicago,Collision - building,Released
2016-02158,Hermit Thrush,11.05.2016,5/10/16 5 PM,A,UNK,Humane Society,Chicago,Collision - building,Released
2016-02159, White-throated Sparrow,11.05.2016,5/11/16 6:55 AM,A,UNK,30 N. LaSalle (S Alley),Chicago,Collision - building,Released
2016-02160,Blackpoll Warbler,11.05.2016,5/11/16 8 AM,A,M,2646 N. Ridgeway,Chicago,Collision - building,Released
2016-02161,Baltimore Oriole,11.05.2016,5/11/16 7:45 AM,A,F,333 N. Michigan (W sd),Chicago,Collision - building,Released
2016-02162,Baltimore Oriole,11.05.2016,5/10/16 5:30 PM,A,M,100 S. Wacker (N sd),Chicago,Collision - building,Released
2016-02163, White-throated Sparrow,11.05.2016,5/11/16 6:20 AM,A,UNK,"321 N. Clark, north side",Chicago,Collision - building,Released
2016-02164,Sedge Wren,11.05.2016,5/11/16 5:30 AM,A,UNK,"prudential plaza 180, east side",Chicago,Collision - building,Released
2016-02165,Ovenbird,11.05.2016,5/11/16 7 AM,A,UNK,"Prudential, east side",Chicago,Collision - building,Released
2016-02166,White-crowned Sparrow,11.05.2016,5/11/16 6:45 AM,A,UNK,"300 N. LaSalle, SE corner",Chicago,Collision - building,Released
2016-02167,Wood Thrush,11.05.2016,5/11/16 8 AM,A,UNK,"Hyatt Center, south side",Chicago,Collision - building,Released
2016-02168,Common Yellowthroat,11.05.2016,5/11/16 5:35 AM,A,F,"300 S. Riverside, west side",Chicago,Collision - building,Released
2016-02169, White-throated Sparrow,11.05.2016,5/11/16 6:20 AM,A,UNK,"321 N. Clark, north side",Chicago,Collision - building,Released
2016-02188,Grasshopper Sparrow,11.05.2016,5/11/16 12:50 PM,A,UNK,Dirkson Bld (E sd),Chicago,Collision - building,Released
2016-02189,Wood Thrush,11.05.2016,5/11/16 10 AM,A,UNK,Menards Parking Lot on Clyborn,Chicago,Collision - window,Euthanized after 24 hours
2016-02203,Nashville Warbler,11.05.2016,5/11/16 10 AM,UNK,UNK,640 N LaSalle,Chicago,Fell from nest,Released
2016-02204,Least Flycatcher,11.05.2016,5/11/16 AM,A,UNK,Hyatt Arcade,Chicago,Fell from nest,Released
2016-02215,Mallard,12.05.2016,5/12/16 8:25 AM,UNK,UNK,NA info came from Heidi & Scott,Chicago,Fell from nest,Died within 24 hours
2016-02216,Mallard,12.05.2016,5/12/16,F,UNK,NA,Chicago,Fell from nest,Euthanized within 24 hour of admit
2016-02217,Mallard,12.05.2016,5/12/16,F,UNK,NA,Chicago,Fell from nest,Released
2016-02218,Mallard,12.05.2016,5/12/16,F,UNK,NA,Chicago,Fell from nest,Released
2016-02220,Scarlet Tanager,12.05.2016,5/12/16 6:20 AM,A,M,Hyatt Tower - W,Chicago,Collision - building,Released
2016-02221,Baltimore Oriole,12.05.2016,5/12/16 6:05 AM,A,M,100 S Wacker - S,Chicago,Collision - building,Released
2016-02222,Ruby-crowned Kinglet,12.05.2016,5/12/16 8:22 AM,A,F,Willis Tower -SC,Chicago,Collision - building,Died after 24 hrs
2016-02223,Yellow Warbler,12.05.2016,5/12/16 7:40 AM,A,UNK,Hyatt Center - S,Chicago,Collision - building,Died within 24 hours
2016-02224,Ovenbird,12.05.2016,5/12/16 6:50 AM,A,UNK,Kluzinski - S,Chicago,Collision - building,Released
2016-02225, White-throated Sparrow,12.05.2016,5/12/16 6:20 AM,A,UNK,Willis Tower - S,Chicago,Collision - building,Died after 24 hrs
2016-02226,Scarlet Tanager,12.05.2016,5/11/16 12 PM,A,M,2425 W 14th Street - NE,Chicago,Collision - building,Released
2016-02227,White-crowned Sparrow,12.05.2016,5/11/16 3:30 PM,A,UNK,2124 W Pensacola,Chicago,Collision - building,Released
2016-02228,Ovenbird,12.05.2016,5/12/16 9 AM,A,UNK,Dirksen - W,Chicago,Collision - building,Released
2016-02229,Scarlet Tanager,12.05.2016,5/11/16 8:30 PM,A,M,"(St. Athanasius Church, Parking lot)",Chicago,Collision - building,Released
2016-02230, White-throated Sparrow,12.05.2016,5/12/16 6 AM,A,UNK,Willis Tower - S,Chicago,Collision - building,Released
2016-02231,Ovenbird,12.05.2016,5/12/16 7:15 AM,A,UNK,Hyatt Center - S,Chicago,Collision - building,Released
2016-02232,White-crowned Sparrow,12.05.2016,5/11/16 4:30 PM,A,UNK,1316 Sherman Ave.,Evanston,Collision - building,Died within 24 hours
2016-02250,Black-throated Green Warbler,12.05.2016,5/12/16 7:21 AM,A,M,"303 Wacker, east side",Chicago,Collision - building,Died within 24 hours
2016-02251,Chestnut-sided Warbler,12.05.2016,5/12/16 7 AM,A,M,"10 S. Riverside, east side",Chicago,Unknown,Released
2016-02252,White-crowned Sparrow,12.05.2016,5/12/16 6:31 AM,A,UNK,"Willis Tower, west side",Chicago,Unknown,Released
2016-02253, White-throated Sparrow,12.05.2016,5/12/16 6:30 AM,A,UNK,"233 N. Michigan, north side",Chicago,Unknown,Released
2016-02254,Swamp Sparrow,12.05.2016,5/12/16 6:30 AM,A,UNK,"300 N. Lasalle, south side",Chicago,Unknown,Released
2016-02255,Common Yellowthroat,12.05.2016,5/12/16 10 AM,A,M,Peggy Notebaert-entrance,Chicago,Unknown,Released
2016-02256,Ovenbird,12.05.2016,5/12/16 5:59 AM,A,UNK,"Aon, west side",Chicago,Unknown,Released
2016-02257,Baltimore Oriole,12.05.2016,5/12/16 6:30 AM,A,F,"1 S. FRanklin, west side",Chicago,Unknown,Released
2016-02258,Ovenbird,12.05.2016,5/12/16 8:30 AM,A,UNK,not given,Chicago,Unknown,Released
2016-02259,Lincoln's Sparrow,12.05.2016,5/12/16 7:52 AM,A,UNK,"Willis Tower, NW corner",Chicago,Unknown,Released
2016-02260, White-throated Sparrow,12.05.2016,5/12/16,A,UNK,,Chicago,Unknown,Released
2016-02261, White-throated Sparrow,12.05.2016,5/12/16,A,UNK,,Chicago,Unknown,Released
2016-02262, White-throated Sparrow,12.05.2016,5/12/16,A,UNK,,Chicago,Unknown,Released
2016-02263,Baltimore Oriole,12.05.2016,5/12/16 6:15 AM,A,M,233 N Michigan,Chicago,Unknown,Released
2016-02264,Downy Woodpecker,12.05.2016,5/12/16 7:55 AM,A,F,30 S Wacker- East,Chicago,Unknown,Released
2016-02265, White-throated Sparrow,12.05.2016,5/12/16 8:55 AM,A,UNK,Willis Tower-SW,Chicago,Unknown,Released
2016-02266,Magnolia Warbler,12.05.2016,5/12/16 6:44 AM,A,M,The Westin - W,Chicago,Unknown,Released
2016-02267,Swainson's Thrush,12.05.2016,5/12/16 6:55 AM,A,UNK,Franklin Center - W,Chicago,Unknown,Released
2016-02268,Black-and-White Warbler,12.05.2016,5/12/16 5 AM,A,F,404 N Wabash - E,Chicago,Unknown,Released
2016-02269,Gray Catbird,12.05.2016,5/12/16 5:20 AM,A,UNK,321 N Clark -E,Chicago,Unknown,Released
2016-02270,Palm Warbler,12.05.2016,5/12/16,A,UNK,N/A,Chicago,Unknown,Released
2016-02271,Gray Catbird,12.05.2016,5/12/16,A,UNK,323 N Clark- N,Chicago,Unknown,Released
2016-02272,Rose-breasted Grosbeak,12.05.2016,5/12/16 6:40 AM,A,M,111 W Washington - N,Chicago,Unknown,Released
2016-02273,Common Yellowthroat,12.05.2016,5/12/16 6:46 AM,A,M,311 S Wacker - N,Chicago,Unknown,Released
2016-02274,Virginia Rail,12.05.2016,5/12/16,A,UNK,525 W Monroe - E,Chicago,Unknown,Released
2016-02275,Ovenbird,12.05.2016,5/12/16 6:37 AM,A,UNK,233 N Michigan - SW,Chicago,Unknown,Released
2016-02276,Ovenbird,12.05.2016,5/12/16 7:25 AM,A,UNK,200 W Madison - NE,Chicago,Unknown,Released
2016-02277,Ovenbird,12.05.2016,5/12/16 8:30 AM,A,UNK,227 S Jefferson - W,Chicago,Unknown,Released
2016-02278,Ovenbird,12.05.2016,5/12/16 7:05 AM,A,UNK,300 S Riverside - W,Chicago,Unknown,Released
2016-02279,Baltimore Oriole,12.05.2016,5/12/16 5:25 AM,A,UNK,30 S Wacker - E,Chicago,Unknown,Released
2016-02280,Baltimore Oriole,12.05.2016,5/12/16 7:51 AM,A,F,111 E Wacker - SE,Chicago,Unknown,Released
2016-02281,Common Yellowthroat,12.05.2016,5/12/16 6:30 AM,A,M,"120 S. Riverside, south side",Chicago,Unknown,Released
2016-02282,Northern Waterthrush,12.05.2016,5/12/16 6:40 AM,A,UNK,"111 E. Wacker, SE corner",Chicago,Unknown,Released
2016-02283,Magnolia Warbler,12.05.2016,5/12/16 7:45 AM,A,M,"Willis Tower, SW corner",Chicago,Unknown,Released
2016-02284,Sora,12.05.2016,5/12/16 7:45 AM,A,UNK,"Citicorp, east side",Chicago,Unknown,Released
2016-02285,Northern Parula,12.05.2016,5/12/16 6:15 AM,A,M,"100 S. Wacker, east side",Chicago,Unknown,Released
2016-02286,Nashville Warbler,12.05.2016,5/12/16 12 AM,A,M,"330 N. Wabash, lobby",Chicago,Unknown,Released
2016-02287,Magnolia Warbler,12.05.2016,5/12/16 8:10 AM,A,M,"333 N. Wacker, east side",Chicago,Unknown,Released
2016-02288,Chestnut-sided Warbler,12.05.2016,5/12/16 7 AM,A,M,"321 N. Clark, north side",Chicago,Unknown,Released
2016-02289,Ovenbird,12.05.2016,5/12/16 6:07 AM,A,UNK,"Willis Tower, west side",Chicago,Unknown,Released
2016-02290,Tennessee Warbler,12.05.2016,5/12/16 7:05 AM,A,F,"300 W. LaSalle, east side",Chicago,Unknown,Released
2016-02291,Common Yellowthroat,12.05.2016,5/12/16 5:50 AM,A,M,"Trump Tower, east side",Chicago,Unknown,Released
2016-02292,Rose-breasted Grosbeak,12.05.2016,5/12/16 5:55 AM,A,M,"Willis Tower, south side",Chicago,Unknown,Released
2016-02293,Tennessee Warbler,12.05.2016,5/12/16 6:45 AM,A,M,"10 S. Riverside, north side",Chicago,Unknown,Released
2016-02294,Savannah Sparrow,12.05.2016,5/12/16 7:30 AM,A,UNK,"300 N. LaSalle, south side",Chicago,Unknown,Released
2016-02295,Ovenbird,12.05.2016,5/12/16 5:20 AM,A,UNK,"200 W. Madison, south side",Chicago,Unknown,Released
2016-02296,Ovenbird,12.05.2016,5/12/16 6 AM,A,UNK,"300 N. LaSalle, south side",Chicago,Unknown,Released
2016-02297,Canada Warbler,12.05.2016,5/12/16 6:30 AM,A,M,"Willis Tower, west side",Chicago,Unknown,Released
2016-02298,Common Yellowthroat,12.05.2016,5/12/16 8:10 AM,A,M,"130 S. Canal, Metropolitan plac",Chicago,Unknown,Released
2016-02299,Nashville Warbler,12.05.2016,5/12/16 8:06 AM,A,F,"225 Michigan, west side",Chicago,Unknown,Released
2016-02317,Common Grackle,13.05.2016,5/12/16,A,UNK,71 S Wacker,Chicago,Collision - building,Died within 24 hours
2016-02318,Cedar Waxwing,13.05.2016,5/12/16 12:45 PM,A,UNK,500 W Monroe - S,Chicago,Collision - building,Died after 24 hrs
2016-02319,Canada Goose,13.05.2016,5/12/16 8 PM,F,UNK,(North Park Villiage - Senior Apt) 5801 N Pulaski,Chicago,Orphaned,Released
2016-02324,Great Horned Owl,13.05.2016,5/12/16 PM,F,UNK,110 Clark Avenue,Oswego,Fell from nest,Returned to Wild
2016-02325,Mallard,13.05.2016,5/13/16 AM,F,UNK,VA Hospital,Maywood,Fell from nest,Released
2016-02326,Mallard,13.05.2016,5/13/16 AM,F,UNK,VA Hospital,Maywood,Fell from nest,Released
2016-02327,Canada Goose,13.05.2016,5/13/16 8 AM,F,UNK,924 Oak Lawn,Elmhurst,Orphaned,Released
2016-02332, White-throated Sparrow,13.05.2016,5/13/16 7:15 AM,A,UNK,4BS Bldg - NE,Chicago,Collision - building,Released
2016-02333,Red-winged Blackbird,13.05.2016,5/13/16 7:20 AM,A,F,Boeing - N,Chicago,Collision - building,Released
2016-02338,Nashville Warbler,13.05.2016,5/13/16 5:40 AM,A,M,550 W VanBuren,Chicago,Collision - building,Released
2016-02339, White-throated Sparrow,13.05.2016,5/13/16 6:10 AM,A,UNK,540 W Madison,Chicago,Collision - building,Released
2016-02340,Ovenbird,13.05.2016,5/13/16 6:05 AM,A,UNK,550 W Washington - S,Chicago,Collision - building,Released
2016-02341,Ovenbird,13.05.2016,5/13/16 5:35 AM,A,UNK,10 S Dearborn,Chicago,Collision - building,Released
2016-02342,Ovenbird,13.05.2016,5/13/16 5:25 AM,A,UNK,Deloitte -N,Chicago,Collision - building,Released
2016-02343,Ovenbird,13.05.2016,5/13/16 6:15 AM,A,UNK,150 Wacker  - N,Chicago,Collision - building,Released
2016-02344,Ovenbird,13.05.2016,5/13/16 8:40 AM,A,UNK,30 S Wacker - E,Chicago,Collision - building,Released
2016-02346,Wood Thrush,13.05.2016,5/12/16 12 PM,A,UNK,2749 N Elston,Chicago,Collision - building,Released
2016-02347,Rose-breasted Grosbeak,13.05.2016,5/12/16,A,F,N/A,Chicago,Collision - building,Released
2016-02352,Ovenbird,13.05.2016,5/13/16,A,UNK,NA,Chicago,Collision - building,Released
2016-02358,Common Yellowthroat,14.05.2016,5/13/16 9:30 AM,A,F,State and Chicago,Chicago,Collision - building,Released
2016-02359,Ovenbird,14.05.2016,5/13/16 2:15 PM,A,UNK,"105 W. Madison, NE corner",Chicago,Collision - building,Released
2016-02370,American Robin,14.05.2016,5/13/16 6 PM,F,UNK,4241 N. Francisco,Chicago,Human Interference,Released
2016-02381,American Crow,14.05.2016,5/11/16,A,UNK,A and M Wildlife,Crete,Unknown,Euthanized within 24 hour of admit
2016-02399,Ovenbird,14.05.2016,5/14/16 6 AM,A,UNK,"120 S. Riverside, east side",Chicago,Collision - building,Released
2016-02400,Ovenbird,14.05.2016,5/14/16 7 AM,A,UNK,"120 S. Riverside, east side",Chicago,Collision - building,Released
2016-02401,Swainson's Thrush,14.05.2016,5/13/16 5:30 PM,A,UNK,"not given, ""downtown Chicago""",Chicago,Collision - building,Released
2016-02426,Scarlet Tanager,15.05.2016,5/15/16 8:03 AM,A,M,525 S. Monroe (In garage),Chicago,Collision - building,Died after 24 hrs
2016-02427,Scarlet Tanager,15.05.2016,5/15/16 7:30 AM,A,F,340 E. Randolph (W sd),Chicago,Collision - building,Released
2016-02429,Wood Thrush,15.05.2016,5/15/16 5:35 AM,A,UNK,"30 W Monroe, north side",Chicago,Collision - building,Released
2016-02438,Ovenbird,15.05.2016,5/15/16 5:10 AM,A,UNK,111 S. Wacker (N sd),Chicago,Collision - building,Released
2016-02439,Mouring Warbler,15.05.2016,5/15/16 5:15 AM,A,M,111 E. Wacker (N sd),Chicago,Collision - building,Released
2016-02440,Ovenbird,15.05.2016,5/15/16 8:15 AM,A,UNK,AON (N sd),Chicago,Collision - building,Released
2016-02441,Ovenbird,15.05.2016,5/15/16 7:21 AM,A,UNK,Willis (SE corner),Chicago,Collision - building,Released
2016-02442,Northern Waterthrush,15.05.2016,5/15/16 5:45 AM,A,UNK,311 S. Wacker (N sd),Chicago,Collision - building,Released
2016-02450,Mallard,16.05.2016,5/15/16 5:30 PM,F,UNK,Nature Museum,Chicago,Fell from nest,Released
2016-02451,Mallard,16.05.2016,5/15/16 5:30 PM,F,UNK,Nature Museum,Chicago,Fell from nest,Released
2016-02460,Mallard,16.05.2016,5/15/16 4 PM,F,UNK,3415 W. 63rd Place,Chicago,Fell from nest,Released
2016-02461,Mallard,16.05.2016,5/15/16 4 PM,UNK,UNK,3415 W. 63rd Place,Chicago,Fell from nest,Died within 24 hours
2016-02463,Great Blue Heron,16.05.2016,5/16/16,A,UNK,9830 W. Circle Parkway,Palos Park,Unknown,Euthanized within 24 hour of admit
2016-02464,Ovenbird,16.05.2016,5/16/15 7:40 AM,A,UNK,55 S. Dearborn (E sd),Chicago,Collision - building,Died within 24 hours
2016-02465,Lincoln's Sparrow,16.05.2016,5/16/15,A,UNK,,Chicago,Collision - building,Released
2016-02466,Golden-crowned Kinglet,16.05.2016,5/16/15 9:50 AM,UNK,UNK,59th SE (N sd),Westmont,Unknown,Dead on arrival
2016-02469,Magnolia Warbler,16.05.2016,5/16/16 7:30 AM,A,M,303 E. Wacker (E sd),Chicago,Collision - building,Released
2016-02470,Common Yellowthroat,16.05.2016,5/16/16 8:40 AM,A,M, Prudentail 1 (E sd),Chicago,Collision - building,Released
2016-02471,Common Yellowthroat,16.05.2016,5/16/16 6:30 AM,A,F,Sears (S sd),Chicago,Collision - building,Released
2016-02472,Ovenbird,16.05.2016,5/16/16 5:40 AM,A,UNK,233 N. Michigan Plaza (E sd),Chicago,Collision - building,Released
2016-02473,House Wren,16.05.2016,5/16/16 8 AM,A,UNK,303 E. Wacker,Chicago,Collision - building,Released
2016-02474,Ruby-crowned Kinglet,16.05.2016,5/16/16 7:30 AM,A,F,BCBS (NE corner),Chicago,Collision - building,Released
2016-02478,Ovenbird,16.05.2016,5/16/16 9 AM,A,UNK,"IL Institute of Art, east side",Chicago,Collision - building,Released
2016-02485,Scarlet Tanager,16.05.2016,5/15/16 4:30 PM,A,M,284 W Winthrop,Elmhurst,Collision - building,Released
2016-02486,Whip-poor-will,16.05.2016,5/16/16 9:45 AM,A,UNK,"1620 S Michigan, W side",Chicago,Collision - building,Died after 24 hrs
2016-02487,Common Yellowthroat,16.05.2016,5/16/16 6:45 AM,A,F,"300 N LaSalle, S Side",Chicago,Collision - building,Released
2016-02488,Canada Warbler,16.05.2016,5/16/16 5:35 AM,A,M,"Trump, S Side",Chicago,Collision - building,Released
2016-02494,Ovenbird,16.05.2016,5/16/16 2 PM,A,UNK,1011 Garfield,Oak Park,Unknown,Died before exam
2016-02505,Peregrine Falcon,16.05.2016,5/16/16 PM,F,F,USDA - O'Hare,Chicago,Unknown,Transferred
2016-02519,Mallard,17.05.2016,5/16/16 6 PM,F,UNK,(Scottish Home) 2800 N DesPlaines Ave,North Riverside,Human Interference,Released
2016-02520,Mallard,17.05.2016,5/16/16 6 PM,F,UNK,(Scottish Home) 2800 N DesPlaines Ave,North Riverside,Fell from nest,Died within 24 hours
2016-02521,Mallard,17.05.2016,5/16/16 6 PM,F,UNK,(Scottish Home) 2800 N DesPlaines Ave,North Riverside,Fell from nest,Released
2016-02522,Mallard,17.05.2016,5/16/16 6 PM,F,UNK,(Scottish Home) 2800 N DesPlaines Ave,North Riverside,Fell from nest,Released
2016-02523,Mallard,17.05.2016,5/16/16 6 PM,F,UNK,(Scottish Home) 2800 N DesPlaines Ave,North Riverside,Fell from nest,Released
2016-02524,Mallard,17.05.2016,5/16/16 6 PM,F,UNK,(Scottish Home) 2800 N DesPlaines Ave,North Riverside,Fell from nest,Died within 24 hours
2016-02525,Mallard,17.05.2016,5/16/16 6 PM,F,UNK,(Scottish Home) 2800 N DesPlaines Ave,North Riverside,Fell from nest,Released
2016-02526,Mallard,17.05.2016,5/16/16 6 PM,F,UNK,(Scottish Home) 2800 N DesPlaines Ave,North Riverside,Fell from nest,Released
2016-02527,Mallard,17.05.2016,5/16/16 6 PM,F,UNK,(Scottish Home) 2800 N DesPlaines Ave,North Riverside,Fell from nest,Released
2016-02528,Mallard,17.05.2016,5/16/16 6 PM,F,UNK,(Scottish Home) 2800 N DesPlaines Ave,North Riverside,Fell from nest,Released
2016-02537,Ovenbird,17.05.2016,5/16/16 12:05 PM,A,UNK,230 W. Monroe (W sd),Chicago,Collision - building,Released
2016-02546,Mallard,17.05.2016,5/17/16 10:30 AM,F,UNK,5500 block of wolf rd,Western Springs,Fell from nest,Released
2016-02547,Mallard,17.05.2016,5/17/16 10:30 AM,F,UNK,5500 block of wolf rd,Western Springs,Fell from nest,Released
2016-02548,Mallard,17.05.2016,5/17/16 10:30 AM,F,UNK,5500 block of wolf rd,Western Springs,Fell from nest,Released
2016-02549,Mallard,17.05.2016,5/17/16 10:30 AM,F,UNK,5500 block of wolf rd,Western Springs,Fell from nest,Released
2016-02550,Mallard,17.05.2016,5/17/16 10:30 AM,F,UNK,5500 block of wolf rd,Western Springs,Fell from nest,Released
2016-02551,Mallard,17.05.2016,5/17/16 10:30 AM,F,UNK,5500 block of wolf rd,Western Springs,Fell from nest,Released
2016-02552,Mallard,17.05.2016,5/17/16 10:30 AM,F,UNK,5500 block of wolf rd,Western Springs,Fell from nest,Released
2016-02553,Mallard,17.05.2016,5/17/16 10:30 AM,F,UNK,5500 block of wolf rd,Western Springs,Fell from nest,Released
2016-02554,Mallard,17.05.2016,5/17/16 10:30 AM,F,UNK,5500 block of wolf rd,Western Springs,Fell from nest,Released
2016-02555,Mallard,17.05.2016,5/17/16 10:30 AM,F,UNK,5500 block of wolf rd,Western Springs,Fell from nest,Released
2016-02566,Mouring Dove,17.05.2016,5/16/16 6:30 AM,A,UNK,1727 S. Indiana Ave (4th fl),Chicago,Collision - building,Euthanized within 24 hour of admit
2016-02567,American Crow,17.05.2016,5/17/16 7:17 AM,F,UNK,Franklin Center (S sd),Chicago,Collision - building,Released
2016-02568,American Crow,17.05.2016,5/16/16,F,UNK,,Chicago,Collision - building,Released
2016-02576,Tennessee Warbler,17.05.2016,5/16/16 6 PM,A,UNK,901 Warrenville Rd (E sd),Lisle,Collision - building,Dead on arrival
2016-02577,Ovenbird,17.05.2016,5/17/16 10:17 AM,A,UNK,AON (N sd),Chicago,Collision - building,Released
2016-02578,Ovenbird,17.05.2016,5/17/16 6:40 AM,A,UNK,120 S. Riverside (E sd),Chicago,Collision - building,Released
2016-02579,Ovenbird,17.05.2016,5/17/16 6:30 AM,A,UNK,233 Mich Plaza,Chicago,Collision - building,Released
